property_id,name,address,price,sq_ft,collected_at,source,listing_id,coordinates,area,type
,,,516608,,2026-03-19T12:49:24.009414,LoopNet API,,,3221,Office
,,,215732,,2026-03-19T12:49:24.009416,LoopNet API,,,2697,Office
,,,1890048,,2026-03-19T12:49:24.009417,LoopNet API,,,4008,Retail
,,,671053,,2026-03-19T12:49:24.009419,LoopNet API,,,2768,Multi-Family
,,,1105672,,2026-03-19T12:49:24.009423,LoopNet API,,,4116,Office
,,,601122,,2026-03-19T12:49:24.009426,LoopNet API,,,2628,Office
,,,107175,,2026-03-19T12:49:24.009428,LoopNet API,,,1025,Office
,,,1754403,,2026-03-19T12:49:24.009430,LoopNet API,,,4925,Multi-Family
,,,1488775,,2026-03-19T12:49:24.009431,LoopNet API,,,1889,Retail
,,,868104,,2026-03-19T12:49:24.009433,LoopNet API,,,3454,Industrial
,,,1842953,,2026-03-19T12:49:24.009435,LoopNet API,,,4206,Office
,,,1749214,,2026-03-19T12:49:24.009436,LoopNet API,,,3986,Retail
,,,1612833,,2026-03-19T12:49:24.009438,LoopNet API,,,1751,Retail
,,,878910,,2026-03-19T12:49:24.009440,LoopNet API,,,4613,Office
,,,1373621,,2026-03-19T12:49:24.009442,LoopNet API,,,2250,Industrial
,,,607153,,2026-03-19T12:49:24.009443,LoopNet API,,,4699,Retail
,,,1701610,,2026-03-19T12:49:24.009445,LoopNet API,,,596,Office
,,,1399257,,2026-03-19T12:49:24.009448,LoopNet API,,,4232,Retail
,,,924422,,2026-03-19T12:49:24.009450,LoopNet API,,,1131,Industrial
,,,1199120,,2026-03-19T12:49:24.009452,LoopNet API,,,2120,Office
,,,142114,,2026-03-19T12:49:24.009453,LoopNet API,,,2598,Office
,,,1309185,,2026-03-19T12:49:24.009455,LoopNet API,,,4643,Retail
,,,1068696,,2026-03-19T12:49:24.009457,LoopNet API,,,4016,Multi-Family
,,,425251,,2026-03-19T12:49:24.009460,LoopNet API,,,3267,Office
,,,482974,,2026-03-19T12:49:24.009462,LoopNet API,,,1195,Multi-Family
,,,1442104,,2026-03-19T12:49:24.009464,LoopNet API,,,2350,Office
,,,577851,,2026-03-19T12:49:24.009466,LoopNet API,,,4127,Multi-Family
,,,388423,,2026-03-19T12:49:24.009467,LoopNet API,,,2975,Office
,,,554040,,2026-03-19T12:49:24.009469,LoopNet API,,,1970,Office
,,,185936,,2026-03-19T12:49:24.009471,LoopNet API,,,3631,Industrial
,,,754266,,2026-03-19T12:49:24.009473,LoopNet API,,,1761,Office
,,,1741482,,2026-03-19T12:49:24.009474,LoopNet API,,,4725,Retail
,,,1822742,,2026-03-19T12:49:24.009476,LoopNet API,,,1759,Office
,,,1009554,,2026-03-19T12:49:24.009479,LoopNet API,,,1878,Multi-Family
,,,1572204,,2026-03-19T12:49:24.009480,LoopNet API,,,3743,Retail
,,,783976,,2026-03-19T12:49:24.009482,LoopNet API,,,3318,Office
,,,1900736,,2026-03-19T12:49:24.009484,LoopNet API,,,566,Multi-Family
,,,1521198,,2026-03-19T12:49:24.009486,LoopNet API,,,3409,Office
,,,529116,,2026-03-19T12:49:24.009487,LoopNet API,,,4261,Office
,,,1268385,,2026-03-19T12:49:24.009489,LoopNet API,,,2379,Industrial
,,,1575090,,2026-03-19T12:49:24.009491,LoopNet API,,,4609,Industrial
,,,1545611,,2026-03-19T12:49:24.009492,LoopNet API,,,4180,Industrial
,,,1963109,,2026-03-19T12:49:24.009494,LoopNet API,,,2336,Retail
,,,1991454,,2026-03-19T12:49:24.009496,LoopNet API,,,2746,Multi-Family
,,,1429587,,2026-03-19T12:49:24.009498,LoopNet API,,,3491,Retail
,,,1728276,,2026-03-19T12:49:24.009499,LoopNet API,,,1449,Retail
,,,798398,,2026-03-19T12:49:24.009501,LoopNet API,,,2994,Office
,,,160721,,2026-03-19T12:49:24.009503,LoopNet API,,,4698,Industrial
,,,687187,,2026-03-19T12:49:24.009504,LoopNet API,,,1764,Retail
,,,999622,,2026-03-19T12:49:24.009507,LoopNet API,,,4999,Retail
,,,445845,,2026-03-19T12:49:24.009509,LoopNet API,,,2262,Retail
,,,278612,,2026-03-19T12:49:24.009512,LoopNet API,,,2104,Industrial
,,,123847,,2026-03-19T12:49:24.009514,LoopNet API,,,567,Industrial
,,,1549044,,2026-03-19T12:49:24.009516,LoopNet API,,,2001,Industrial
,,,975273,,2026-03-19T12:49:24.009518,LoopNet API,,,2905,Office
,,,118918,,2026-03-19T12:49:24.009519,LoopNet API,,,3263,Multi-Family
,,,676176,,2026-03-19T12:49:24.009521,LoopNet API,,,2141,Multi-Family
,,,1031858,,2026-03-19T12:49:24.009523,LoopNet API,,,1414,Multi-Family
,,,1034125,,2026-03-19T12:49:24.009525,LoopNet API,,,4067,Retail
,,,760479,,2026-03-19T12:49:24.009526,LoopNet API,,,2434,Office
,,,579087,,2026-03-19T12:49:24.009528,LoopNet API,,,4319,Retail
,,,294526,,2026-03-19T12:49:24.009530,LoopNet API,,,1551,Office
,,,372979,,2026-03-19T12:49:24.009531,LoopNet API,,,4591,Multi-Family
,,,1518934,,2026-03-19T12:49:24.009533,LoopNet API,,,2686,Industrial
,,,1220671,,2026-03-19T12:49:24.009535,LoopNet API,,,4387,Retail
,,,1521907,,2026-03-19T12:49:24.009537,LoopNet API,,,4310,Office
,,,180580,,2026-03-19T12:49:24.009538,LoopNet API,,,3892,Multi-Family
,,,710537,,2026-03-19T12:49:24.009540,LoopNet API,,,999,Office
,,,1224013,,2026-03-19T12:49:24.009542,LoopNet API,,,741,Industrial
,,,870003,,2026-03-19T12:49:24.009544,LoopNet API,,,1643,Office
,,,854791,,2026-03-19T12:49:24.009546,LoopNet API,,,1755,Industrial
,,,1728722,,2026-03-19T12:49:24.009547,LoopNet API,,,2302,Multi-Family
,,,1140934,,2026-03-19T12:49:24.009549,LoopNet API,,,3942,Office
,,,336808,,2026-03-19T12:49:24.009551,LoopNet API,,,3004,Office
,,,560386,,2026-03-19T12:49:24.009553,LoopNet API,,,3494,Industrial
,,,1581092,,2026-03-19T12:49:24.009554,LoopNet API,,,879,Retail
,,,1077932,,2026-03-19T12:49:24.009556,LoopNet API,,,2194,Retail
,,,866776,,2026-03-19T12:49:24.009558,LoopNet API,,,4562,Industrial
,,,1634694,,2026-03-19T12:49:24.009560,LoopNet API,,,3478,Retail
,,,439824,,2026-03-19T12:49:24.009561,LoopNet API,,,933,Multi-Family
,,,175327,,2026-03-19T12:49:24.009563,LoopNet API,,,2879,Multi-Family
,,,1826645,,2026-03-19T12:49:24.009565,LoopNet API,,,3147,Retail
,,,1405886,,2026-03-19T12:49:24.009566,LoopNet API,,,2158,Industrial
,,,884943,,2026-03-19T12:49:24.009568,LoopNet API,,,973,Retail
,,,301386,,2026-03-19T12:49:24.009570,LoopNet API,,,2371,Industrial
,,,300263,,2026-03-19T12:49:24.009571,LoopNet API,,,4179,Office
,,,666329,,2026-03-19T12:49:24.009573,LoopNet API,,,2798,Multi-Family
,,,527358,,2026-03-19T12:49:24.009575,LoopNet API,,,4232,Multi-Family
,,,659497,,2026-03-19T12:49:24.009576,LoopNet API,,,4528,Industrial
,,,1431463,,2026-03-19T12:49:24.009579,LoopNet API,,,1859,Office
,,,917387,,2026-03-19T12:49:24.009580,LoopNet API,,,3944,Retail
,,,1189094,,2026-03-19T12:49:24.009582,LoopNet API,,,2120,Office
,,,1795710,,2026-03-19T12:49:24.009583,LoopNet API,,,2186,Industrial
,,,1373270,,2026-03-19T12:49:24.009585,LoopNet API,,,531,Retail
,,,1034590,,2026-03-19T12:49:24.009587,LoopNet API,,,1365,Multi-Family
,,,1449667,,2026-03-19T12:49:24.009588,LoopNet API,,,1474,Retail
,,,1579615,,2026-03-19T12:49:48.001590,LoopNet API,,,3101,Retail
,,,571794,,2026-03-19T12:49:48.001619,LoopNet API,,,3673,Office
,,,1867623,,2026-03-19T12:49:48.001627,LoopNet API,,,818,Multi-Family
,,,1014441,,2026-03-19T12:49:48.001632,LoopNet API,,,4633,Industrial
,,,1197575,,2026-03-19T12:49:48.001636,LoopNet API,,,3721,Retail
,,,1362884,,2026-03-19T12:49:48.001640,LoopNet API,,,851,Office
,,,1075389,,2026-03-19T12:49:48.001644,LoopNet API,,,4680,Office
,,,1898044,,2026-03-19T12:49:48.001647,LoopNet API,,,4663,Office
,,,148686,,2026-03-19T12:49:48.001651,LoopNet API,,,4643,Multi-Family
,,,1517141,,2026-03-19T12:49:48.001655,LoopNet API,,,1369,Industrial
,,,508381,,2026-03-19T12:49:48.001658,LoopNet API,,,2424,Industrial
,,,208091,,2026-03-19T12:49:48.001662,LoopNet API,,,1384,Industrial
,,,1302760,,2026-03-19T12:49:48.001665,LoopNet API,,,815,Retail
,,,1923103,,2026-03-19T12:49:48.001669,LoopNet API,,,1632,Industrial
,,,114252,,2026-03-19T12:49:48.001672,LoopNet API,,,2479,Industrial
,,,405539,,2026-03-19T12:49:48.001676,LoopNet API,,,2839,Multi-Family
,,,1473072,,2026-03-19T12:49:48.001679,LoopNet API,,,4499,Industrial
,,,1643676,,2026-03-19T12:49:48.001683,LoopNet API,,,4088,Retail
,,,1612637,,2026-03-19T12:49:48.001687,LoopNet API,,,4071,Industrial
,,,724345,,2026-03-19T12:49:48.001691,LoopNet API,,,2472,Office
,,,249483,,2026-03-19T12:49:48.001694,LoopNet API,,,1410,Multi-Family
,,,892660,,2026-03-19T12:49:48.001697,LoopNet API,,,4842,Office
,,,1412510,,2026-03-19T12:49:48.001701,LoopNet API,,,3002,Office
,,,871971,,2026-03-19T12:49:48.001717,LoopNet API,,,4363,Retail
,,,1036468,,2026-03-19T12:49:48.001723,LoopNet API,,,3986,Office
,,,1592591,,2026-03-19T12:49:48.001727,LoopNet API,,,2552,Multi-Family
,,,1961698,,2026-03-19T12:49:48.001731,LoopNet API,,,2694,Multi-Family
,,,335991,,2026-03-19T12:49:48.001734,LoopNet API,,,1697,Multi-Family
,,,500846,,2026-03-19T12:49:48.001810,LoopNet API,,,4946,Multi-Family
,,,1296507,,2026-03-19T12:49:48.001814,LoopNet API,,,3571,Retail
,,,1123936,,2026-03-19T12:49:48.001817,LoopNet API,,,2665,Multi-Family
,,,366641,,2026-03-19T12:49:48.001821,LoopNet API,,,4545,Office
,,,157169,,2026-03-19T12:49:48.001824,LoopNet API,,,3085,Retail
,,,419746,,2026-03-19T12:49:48.001828,LoopNet API,,,3768,Office
,,,1201301,,2026-03-19T12:49:48.001832,LoopNet API,,,4936,Office
,,,1529262,,2026-03-19T12:49:48.001835,LoopNet API,,,3234,Multi-Family
,,,738546,,2026-03-19T12:49:48.001839,LoopNet API,,,3965,Multi-Family
,,,825335,,2026-03-19T12:49:48.001842,LoopNet API,,,3441,Industrial
,,,785349,,2026-03-19T12:49:48.001845,LoopNet API,,,973,Industrial
,,,1640268,,2026-03-19T12:49:48.001849,LoopNet API,,,1005,Industrial
,,,378451,,2026-03-19T12:49:48.001852,LoopNet API,,,2728,Retail
,,,1038092,,2026-03-19T12:49:48.001856,LoopNet API,,,930,Office
,,,630462,,2026-03-19T12:49:48.001859,LoopNet API,,,1916,Industrial
,,,453114,,2026-03-19T12:49:48.001863,LoopNet API,,,4329,Office
,,,445369,,2026-03-19T12:49:48.001875,LoopNet API,,,3521,Retail
,,,1740500,,2026-03-19T12:49:48.001879,LoopNet API,,,889,Retail
,,,1511635,,2026-03-19T12:49:48.001883,LoopNet API,,,4809,Multi-Family
,,,1064404,,2026-03-19T12:49:48.001886,LoopNet API,,,1566,Multi-Family
,,,404231,,2026-03-19T12:49:48.001889,LoopNet API,,,3309,Office
,,,1746640,,2026-03-19T12:49:48.001893,LoopNet API,,,2358,Office
,,,1151380,,2026-03-19T12:49:48.001896,LoopNet API,,,978,Retail
,,,1069208,,2026-03-19T12:49:48.001899,LoopNet API,,,2218,Multi-Family
,,,1343134,,2026-03-19T12:49:48.001902,LoopNet API,,,4791,Industrial
,,,1960456,,2026-03-19T12:49:48.001906,LoopNet API,,,2167,Office
,,,345465,,2026-03-19T12:49:48.001910,LoopNet API,,,4675,Office
,,,1309945,,2026-03-19T12:49:48.001913,LoopNet API,,,4210,Industrial
,,,826934,,2026-03-19T12:49:48.001916,LoopNet API,,,4920,Multi-Family
,,,134146,,2026-03-19T12:49:48.001920,LoopNet API,,,4740,Industrial
,,,1436136,,2026-03-19T12:49:48.001923,LoopNet API,,,2220,Multi-Family
,,,1077656,,2026-03-19T12:49:48.001927,LoopNet API,,,2615,Industrial
,,,1661427,,2026-03-19T12:49:48.001930,LoopNet API,,,1525,Industrial
,,,1592943,,2026-03-19T12:49:48.001933,LoopNet API,,,2895,Office
,,,321618,,2026-03-19T12:49:48.001937,LoopNet API,,,3354,Office
,,,977156,,2026-03-19T12:49:48.001940,LoopNet API,,,2712,Office
,,,1779107,,2026-03-19T12:49:48.001946,LoopNet API,,,4184,Office
,,,1480872,,2026-03-19T12:49:48.001953,LoopNet API,,,989,Industrial
,,,1623387,,2026-03-19T12:49:48.001957,LoopNet API,,,4660,Industrial
,,,455999,,2026-03-19T12:49:48.001960,LoopNet API,,,1030,Industrial
,,,1633865,,2026-03-19T12:49:48.001963,LoopNet API,,,4582,Multi-Family
,,,403484,,2026-03-19T12:49:48.001967,LoopNet API,,,1534,Office
,,,353160,,2026-03-19T12:49:48.001970,LoopNet API,,,2833,Multi-Family
,,,1063958,,2026-03-19T12:49:48.001974,LoopNet API,,,3882,Retail
,,,1659717,,2026-03-19T12:49:48.001977,LoopNet API,,,1182,Industrial
,,,1991390,,2026-03-19T12:49:48.001981,LoopNet API,,,1343,Industrial
,,,947745,,2026-03-19T12:49:48.001984,LoopNet API,,,3045,Office
,,,1542281,,2026-03-19T12:49:48.001987,LoopNet API,,,3650,Multi-Family
,,,677500,,2026-03-19T12:49:48.001991,LoopNet API,,,4179,Office
,,,678126,,2026-03-19T12:49:48.001997,LoopNet API,,,4648,Multi-Family
,,,1881979,,2026-03-19T12:49:48.002000,LoopNet API,,,3759,Industrial
,,,160597,,2026-03-19T12:49:48.002004,LoopNet API,,,541,Multi-Family
,,,1556631,,2026-03-19T12:49:48.002007,LoopNet API,,,4517,Office
,,,426308,,2026-03-19T12:49:48.002011,LoopNet API,,,3297,Office
,,,472726,,2026-03-19T12:49:48.002014,LoopNet API,,,3151,Office
,,,1542624,,2026-03-19T12:49:48.002020,LoopNet API,,,1853,Industrial
,,,1373876,,2026-03-19T12:49:48.002024,LoopNet API,,,554,Multi-Family
,,,997513,,2026-03-19T12:49:48.002028,LoopNet API,,,2165,Industrial
,,,1696966,,2026-03-19T12:49:48.002031,LoopNet API,,,3063,Retail
,,,1885724,,2026-03-19T12:49:48.002035,LoopNet API,,,3804,Retail
,,,961591,,2026-03-19T12:49:48.002038,LoopNet API,,,706,Industrial
,,,1850577,,2026-03-19T12:49:48.002042,LoopNet API,,,2208,Industrial
,,,539560,,2026-03-19T12:49:48.002046,LoopNet API,,,1114,Office
,,,1305011,,2026-03-19T12:49:48.002049,LoopNet API,,,2532,Office
,,,755160,,2026-03-19T12:49:48.002053,LoopNet API,,,3728,Industrial
,,,996657,,2026-03-19T12:49:48.002057,LoopNet API,,,987,Office
,,,1735296,,2026-03-19T12:49:48.002061,LoopNet API,,,4637,Office
,,,1575592,,2026-03-19T12:49:48.002064,LoopNet API,,,1816,Industrial
,,,1258962,,2026-03-19T12:49:48.002068,LoopNet API,,,2742,Office
,,,586147,,2026-03-19T12:49:48.002071,LoopNet API,,,4260,Retail
,,,1106375,,2026-03-19T12:49:48.002075,LoopNet API,,,2344,Office
,,,1629035,,2026-03-19T12:49:48.002078,LoopNet API,,,4046,Office
,,,1715676,,2026-03-19T12:49:48.002082,LoopNet API,,,1270,Industrial
,,,661775,,2026-03-19T12:49:48.002085,LoopNet API,,,2961,Retail
,,,929620,,2026-03-19T12:49:48.002089,LoopNet API,,,2512,Retail
,,,1065429,,2026-03-19T12:49:48.002092,LoopNet API,,,2821,Industrial
,,,1408691,,2026-03-19T12:49:48.002096,LoopNet API,,,3254,Industrial
,,,506937,,2026-03-19T12:49:48.002099,LoopNet API,,,4847,Multi-Family
,,,1963578,,2026-03-19T12:49:48.002103,LoopNet API,,,2586,Office
,,,163446,,2026-03-19T12:49:48.002106,LoopNet API,,,2530,Office
,,,803746,,2026-03-19T12:49:48.002110,LoopNet API,,,4208,Office
,,,733577,,2026-03-19T12:49:48.002114,LoopNet API,,,3568,Retail
,,,1099336,,2026-03-19T12:49:48.002120,LoopNet API,,,4516,Office
,,,1210028,,2026-03-19T12:49:48.002124,LoopNet API,,,1463,Multi-Family
,,,790878,,2026-03-19T12:49:48.002127,LoopNet API,,,3141,Industrial
,,,1172400,,2026-03-19T12:49:48.002131,LoopNet API,,,3274,Retail
,,,1150861,,2026-03-19T12:49:48.002134,LoopNet API,,,4351,Industrial
,,,373748,,2026-03-19T12:49:48.002138,LoopNet API,,,1271,Multi-Family
,,,259694,,2026-03-19T12:49:48.002141,LoopNet API,,,2674,Industrial
,,,1484069,,2026-03-19T12:49:48.002144,LoopNet API,,,2732,Industrial
,,,1666475,,2026-03-19T12:49:48.002148,LoopNet API,,,2852,Retail
,,,1625077,,2026-03-19T12:49:48.002151,LoopNet API,,,3016,Retail
,,,672724,,2026-03-19T12:49:48.002155,LoopNet API,,,1521,Office
,,,743571,,2026-03-19T12:49:48.002158,LoopNet API,,,3109,Office
,,,1473451,,2026-03-19T12:49:48.002162,LoopNet API,,,1776,Office
,,,1021905,,2026-03-19T12:49:48.002165,LoopNet API,,,1586,Multi-Family
,,,1339499,,2026-03-19T12:49:48.002168,LoopNet API,,,3878,Multi-Family
,,,1088726,,2026-03-19T12:49:48.002172,LoopNet API,,,1518,Multi-Family
,,,1394002,,2026-03-19T12:49:48.002175,LoopNet API,,,3172,Retail
,,,541654,,2026-03-19T12:49:48.002178,LoopNet API,,,2785,Office
,,,363705,,2026-03-19T12:49:48.002182,LoopNet API,,,3026,Industrial
,,,1464476,,2026-03-19T12:49:48.002186,LoopNet API,,,3676,Multi-Family
,,,829174,,2026-03-19T12:49:48.002190,LoopNet API,,,3879,Office
,,,928854,,2026-03-19T12:49:48.002193,LoopNet API,,,3178,Office
,,,964270,,2026-03-19T12:49:48.002197,LoopNet API,,,4868,Retail
,,,218351,,2026-03-19T12:49:48.002200,LoopNet API,,,3334,Industrial
,,,1716698,,2026-03-19T12:49:48.002204,LoopNet API,,,3386,Office
,,,1390585,,2026-03-19T12:49:48.002207,LoopNet API,,,3598,Industrial
,,,1347336,,2026-03-19T12:49:48.002211,LoopNet API,,,3942,Retail
,,,652148,,2026-03-19T12:49:48.002214,LoopNet API,,,1554,Office
,,,1149626,,2026-03-19T12:49:48.002217,LoopNet API,,,3640,Office
,,,1622327,,2026-03-19T12:49:48.002221,LoopNet API,,,871,Industrial
,,,898892,,2026-03-19T12:49:48.002224,LoopNet API,,,2537,Retail
,,,1255171,,2026-03-19T12:49:48.002228,LoopNet API,,,2792,Office
,,,1472997,,2026-03-19T12:49:48.002231,LoopNet API,,,3603,Office
,,,278421,,2026-03-19T12:49:48.002234,LoopNet API,,,4436,Industrial
,,,1092189,,2026-03-19T12:49:48.002238,LoopNet API,,,1151,Multi-Family
,,,225222,,2026-03-19T12:49:48.002241,LoopNet API,,,2223,Office
,,,1067524,,2026-03-19T12:49:48.002245,LoopNet API,,,3474,Retail
,,,1159588,,2026-03-19T12:49:48.002248,LoopNet API,,,1752,Multi-Family
,,,129693,,2026-03-19T12:49:48.002251,LoopNet API,,,2103,Industrial
,,,261965,,2026-03-19T12:49:48.002256,LoopNet API,,,3150,Industrial
,,,603831,,2026-03-19T12:49:48.002259,LoopNet API,,,666,Office
,,,1509418,,2026-03-19T12:49:48.002263,LoopNet API,,,3060,Multi-Family
,,,125546,,2026-03-19T12:49:48.002266,LoopNet API,,,3928,Industrial
,,,638103,,2026-03-19T12:49:48.002270,LoopNet API,,,4055,Retail
,,,1432453,,2026-03-19T12:49:48.002273,LoopNet API,,,2472,Office
,,,603349,,2026-03-19T12:49:48.002276,LoopNet API,,,1232,Industrial
,,,1844168,,2026-03-22T19:23:40.968538,LoopNet API,33157222,"[[-77.629305, 43.193999]]",3770,Retail
,,,841077,,2026-03-22T19:23:40.968550,LoopNet API,39251110,"[[-77.477505, 43.204216]]",1525,Multi-Family
,,,243278,,2026-03-22T19:23:40.968554,LoopNet API,39817288,"[[-77.630988, 43.19586]]",4163,Office
,,,911054,,2026-03-22T19:23:40.968556,LoopNet API,39712189,"[[-77.678778, 43.108532]]",3787,Retail
,,,504860,,2026-03-22T19:23:40.968558,LoopNet API,39625204,"[[-77.7088, 43.146607]]",2114,Multi-Family
,,,891980,,2026-03-22T19:23:40.968560,LoopNet API,39616616,"[[-77.696694, 43.183124]]",2568,Office
,,,908008,,2026-03-22T19:23:40.968563,LoopNet API,39602403,"[[-77.452169, 43.208601]]",3141,Retail
,,,558481,,2026-03-22T19:23:40.968565,LoopNet API,39587954,"[[-77.699985, 43.149222]]",4841,Office
,,,1773773,,2026-03-22T19:23:40.968567,LoopNet API,39577570,"[[-77.732281, 43.21782]]",1996,Industrial
,,,1884929,,2026-03-22T19:23:40.968569,LoopNet API,39558241,"[[-77.486755, 43.079174]]",2446,Office
,,,269260,,2026-03-22T19:23:40.968571,LoopNet API,39432321,"[[-77.603237, 43.115479]]",771,Office
,,,1529366,,2026-03-22T19:23:40.968573,LoopNet API,39402981,"[[-77.569621, 43.201708]]",4947,Retail
,,,1604328,,2026-03-22T19:23:40.968575,LoopNet API,39388644,"[[-77.583062, 43.163556]]",776,Office
,,,223772,,2026-03-22T19:23:40.968576,LoopNet API,39323587,"[[-77.628679, 43.099292]]",1338,Office
,,,1348673,,2026-03-22T19:23:40.968578,LoopNet API,39322261,"[[-77.628546, 43.135555], [-77.62244, 43.13992], [-77.62866, 43.13642], [-77.64013, 43.12885]]",675,Industrial
,,,601281,,2026-03-22T19:23:40.968580,LoopNet API,39317559,"[[-77.652737, 43.184384]]",3804,Retail
,,,1479755,,2026-03-22T19:23:40.968582,LoopNet API,39302800,"[[-77.687407, 43.208923]]",4847,Retail
,,,1670005,,2026-03-22T19:23:40.968584,LoopNet API,39292350,"[[-77.621133, 43.082114]]",3763,Multi-Family
,,,1724974,,2026-03-22T19:23:40.968586,LoopNet API,39270340,"[[-77.596377, 43.140599], [-77.595678, 43.140665], [-77.596294, 43.140951], [-77.596385, 43.140912], [-77.596329, 43.140442]]",2469,Multi-Family
,,,934973,,2026-03-22T19:23:40.968587,LoopNet API,39265429,"[[-77.579476, 43.138666]]",4556,Retail
,,,1544030,,2026-03-22T19:23:40.968589,LoopNet API,39265207,"[[-77.579987, 43.150797]]",4819,Multi-Family
,,,569750,,2026-03-22T19:23:40.968591,LoopNet API,39228650,"[[-77.615279, 43.101188]]",4857,Retail
,,,1686145,,2026-03-22T19:23:40.968593,LoopNet API,39172088,"[[-77.674289, 43.111963]]",1811,Retail
