price,collected_at,source,listing_id,coordinates,area,type,description,title,extracted_price_mentions,short_description_flag
771930.0,2026-03-22t19:23:40.968630,loopnet api,38391803,"[[-77.69616, 43.221334]]",4960.0,Office,retail storefront. contact 555-0199 for info.,property listing 356,,False
573495.0,2026-03-22t19:23:40.968632,loopnet api,38357735,"[[-77.61102, 43.25571]]",3371.0,Industrial,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 357,,False
1.459168e+06,2026-03-22t19:23:40.968634,loopnet api,38353121,"[[-77.487226, 43.118583]]",3879.0,Multi-Family,prime location property. price reduced by 10%.,property listing 358,,False
733238.0,2026-03-22t19:23:40.968635,loopnet api,38337053,"[[-77.736792, 43.182119]]",3190.0,Multi-Family,"modern office building, 2015 construction.",property listing 359,,False
748271.0,2026-03-22t19:23:40.968637,loopnet api,38306416,"[[-77.618951, 43.10377], [-77.619241, 43.104197]]",2337.0,Industrial,beautiful office space built in 1995. new roof installed in 2020.,property listing 360,,False
453172.0,2026-03-22t19:23:40.968639,loopnet api,38263561,"[[-77.66493, 43.131087]]",3690.0,Multi-Family,retail storefront. contact 555-0199 for info.,property listing 361,,False
260524.0,2026-03-22t19:23:40.968640,loopnet api,38223668,"[[-77.508242, 43.18241]]",3513.0,Industrial,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 362,,False
373899.0,2026-03-22t19:23:40.968642,loopnet api,38013173,"[[-77.653018, 43.149681]]",3788.0,Industrial,prime location property. price reduced by 10%.,property listing 363,,False
1.144677e+06,2026-03-22t19:23:40.968643,loopnet api,37994174,"[[-77.675616, 43.037633]]",4828.0,Office,"modern office building, 2015 construction.",property listing 364,,False
580345.0,2026-03-22t19:23:40.968645,loopnet api,37974523,"[[-77.606928, 43.160039]]",3095.0,Office,beautiful office space built in 1995. new roof installed in 2020.,property listing 365,,False
314311.0,2026-03-22t19:23:40.968647,loopnet api,37938064,"[[-77.609412, 43.159125]]",3193.0,Industrial,retail storefront. contact 555-0199 for info.,property listing 366,,False
1.942016e+06,2026-03-22t19:23:40.968649,loopnet api,37863022,"[[-77.66444, 43.13292]]",4239.0,Multi-Family,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 367,,False
718988.0,2026-03-22t19:23:40.968650,loopnet api,37840949,"[[-77.607784, 43.14062]]",1529.0,Multi-Family,prime location property. price reduced by 10%.,property listing 368,,False
436747.0,2026-03-22t19:23:40.968653,loopnet api,37766162,"[[-77.659114, 43.15824]]",1835.0,Retail,"modern office building, 2015 construction.",property listing 369,,False
393836.0,2026-03-22t19:23:40.968654,loopnet api,37685380,"[[-77.640861, 43.080778]]",1644.0,Industrial,beautiful office space built in 1995. new roof installed in 2020.,property listing 370,,False
345247.0,2026-03-22t19:23:40.968656,loopnet api,37564679,"[[-77.601539, 43.089175], [-77.602465, 43.089255]]",3140.0,Office,retail storefront. contact 555-0199 for info.,property listing 371,,False
460331.0,2026-03-22t19:23:40.968658,loopnet api,37409507,"[[-77.703288, 43.18576]]",2625.0,Multi-Family,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 372,,False
234360.0,2026-03-22t19:23:40.968659,loopnet api,37029121,"[[-77.704267, 43.185293]]",4102.0,Multi-Family,prime location property. price reduced by 10%.,property listing 373,,False
1.670285e+06,2026-03-22t19:23:40.968661,loopnet api,36999876,"[[-77.618147, 43.103253]]",3166.0,Office,"modern office building, 2015 construction.",property listing 374,,False
627442.0,2026-03-22t19:23:40.968663,loopnet api,36911005,"[[-77.665334, 43.133994]]",4403.0,Retail,beautiful office space built in 1995. new roof installed in 2020.,property listing 375,,False
838650.0,2026-03-22t19:23:40.968664,loopnet api,36845807,"[[-77.521768, 43.091687]]",1208.0,Industrial,retail storefront. contact 555-0199 for info.,property listing 376,,False
681378.0,2026-03-22t19:23:40.968667,loopnet api,36693922,"[[-77.618859, 43.102351]]",3831.0,Industrial,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 377,,False
1.000505e+06,2026-03-22t19:23:40.968668,loopnet api,36611613,"[[-77.628904, 43.174154]]",3846.0,Retail,prime location property. price reduced by 10%.,property listing 378,,False
534685.0,2026-03-22t19:23:40.968670,loopnet api,36398849,"[[-77.581112, 43.0941]]",631.0,Office,"modern office building, 2015 construction.",property listing 379,,False
690974.0,2026-03-22t19:23:40.968672,loopnet api,35789458,"[[-77.710627, 43.146659]]",2164.0,Multi-Family,beautiful office space built in 1995. new roof installed in 2020.,property listing 380,,False
1.644028e+06,2026-03-22t19:23:40.968673,loopnet api,35561380,"[[-77.603447, 43.147115]]",922.0,Multi-Family,retail storefront. contact 555-0199 for info.,property listing 381,,False
169755.0,2026-03-22t19:23:40.968675,loopnet api,35079036,"[[-77.668244, 43.165093]]",3113.0,Office,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 382,,False
1.70098e+06,2026-03-22t19:23:40.968677,loopnet api,35029105,"[[-77.593411, 43.12617]]",1832.0,Office,prime location property. price reduced by 10%.,property listing 383,,False
1.256469e+06,2026-03-22t19:23:40.968678,loopnet api,34615706,"[[-77.631762, 43.087828]]",3037.0,Multi-Family,"modern office building, 2015 construction.",property listing 384,,False
1.75452e+06,2026-03-22t19:23:40.968680,loopnet api,34483921,"[[-77.628616, 43.135441]]",875.0,Retail,beautiful office space built in 1995. new roof installed in 2020.,property listing 385,,False
889994.0,2026-03-22t19:23:40.968681,loopnet api,33831590,"[[-77.761502, 43.097409]]",3946.0,Retail,retail storefront. contact 555-0199 for info.,property listing 386,,False
1.392816e+06,2026-03-22t19:23:40.968683,loopnet api,33830092,"[[-77.734078, 43.095041]]",700.0,Retail,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 387,,False
1.148997e+06,2026-03-22t19:23:40.968685,loopnet api,33162249,"[[-77.611413, 43.155727]]",2290.0,Retail,prime location property. price reduced by 10%.,property listing 388,,False
493650.0,2026-03-22t19:23:40.968688,loopnet api,33041169,"[[-77.593028, 43.146437]]",4174.0,Multi-Family,"modern office building, 2015 construction.",property listing 389,,False
463672.0,2026-03-22t19:23:40.968690,loopnet api,32968464,"[[-77.589541, 43.144419]]",4432.0,Industrial,beautiful office space built in 1995. new roof installed in 2020.,property listing 390,,False
1.822492e+06,2026-03-22t19:23:40.968692,loopnet api,32876301,"[[-77.693209, 43.210131]]",2005.0,Industrial,retail storefront. contact 555-0199 for info.,property listing 391,,False
898946.0,2026-03-22t19:23:40.968694,loopnet api,32654787,"[[-77.650142, 43.135638]]",3890.0,Industrial,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 392,,False
363793.0,2026-03-22t19:23:40.968695,loopnet api,32554456,"[[-77.615191, 43.159897]]",4959.0,Office,prime location property. price reduced by 10%.,property listing 393,,False
1.654582e+06,2026-03-22t19:23:40.968697,loopnet api,32108855,"[[-77.561308, 43.204157]]",1788.0,Multi-Family,"modern office building, 2015 construction.",property listing 394,,False
896312.0,2026-03-22t19:23:40.968699,loopnet api,31478200,"[[-77.673524, 43.109445]]",1992.0,Retail,beautiful office space built in 1995. new roof installed in 2020.,property listing 395,,False
747043.0,2026-03-22t19:23:40.968701,loopnet api,31300848,"[[-77.455286, 43.209852]]",2862.0,Retail,retail storefront. contact 555-0199 for info.,property listing 396,,False
1.379907e+06,2026-03-22t19:23:40.968703,loopnet api,30644543,"[[-77.623535, 43.147484]]",2149.0,Office,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 397,,False
368320.0,2026-03-22t19:23:40.968704,loopnet api,30346044,"[[-77.608702, 43.156989]]",4192.0,Multi-Family,prime location property. price reduced by 10%.,property listing 398,,False
209560.0,2026-03-22t19:23:40.968706,loopnet api,29800269,"[[-77.5831, 43.092362]]",4020.0,Industrial,"modern office building, 2015 construction.",property listing 399,,False
275781.0,2026-03-22t19:23:40.968708,loopnet api,29057874,"[[-77.636271, 43.0941]]",4898.0,Office,beautiful office space built in 1995. new roof installed in 2020.,property listing 400,,False
1.092451e+06,2026-03-22t19:23:40.968709,loopnet api,28764317,"[[-74.193444, 40.921858], [-77.656597, 43.11786]]",3831.0,Multi-Family,retail storefront. contact 555-0199 for info.,property listing 401,,False
816817.0,2026-03-22t19:23:40.968711,loopnet api,28639149,"[[-77.620477, 43.086632]]",4782.0,Retail,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 402,,False
147829.0,2026-03-22t19:23:40.968713,loopnet api,28431245,"[[-77.587104, 43.18259]]",3087.0,Industrial,prime location property. price reduced by 10%.,property listing 403,,False
1.043032e+06,2026-03-22t19:23:40.968715,loopnet api,27373913,"[[-77.616208, 43.068077]]",688.0,Retail,"modern office building, 2015 construction.",property listing 404,,False
510057.0,2026-03-22t19:23:40.968718,loopnet api,25060286,"[[-77.731417, 43.213995]]",897.0,Industrial,beautiful office space built in 1995. new roof installed in 2020.,property listing 405,,False
811744.0,2026-03-22t19:23:40.968719,loopnet api,24504892,"[[-77.602434, 43.161704]]",1825.0,Multi-Family,retail storefront. contact 555-0199 for info.,property listing 406,,False
1.721295e+06,2026-03-22t19:23:40.968721,loopnet api,22039846,"[[-77.711586, 43.210741]]",4523.0,Office,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 407,,False
1.896818e+06,2026-03-22t19:23:40.968723,loopnet api,18800479,"[[-77.697693, 43.105656]]",1128.0,Multi-Family,prime location property. price reduced by 10%.,property listing 408,,False
1.465835e+06,2026-03-22t19:23:40.968724,loopnet api,16334777,"[[-77.735362, 43.214659]]",758.0,Retail,"modern office building, 2015 construction.",property listing 409,,False
1.954593e+06,2026-03-22t19:23:40.968726,loopnet api,9282621,"[[-77.66594, 43.014168]]",3299.0,Retail,beautiful office space built in 1995. new roof installed in 2020.,property listing 410,,False
704352.0,2026-03-22t19:23:40.968728,loopnet api,39690768,"[[-77.636795, 43.199908]]",1808.0,Retail,retail storefront. contact 555-0199 for info.,property listing 411,,False
577344.0,2026-03-22t19:23:40.968730,loopnet api,39543460,"[[-77.598923, 43.210388]]",4526.0,Retail,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 412,,False
1.692905e+06,2026-03-22t19:23:40.968731,loopnet api,39135136,"[[-77.450523, 43.107187]]",3155.0,Multi-Family,prime location property. price reduced by 10%.,property listing 413,,False
1.054953e+06,2026-03-22t19:23:40.968733,loopnet api,38704259,"[[-77.695072, 43.217637]]",3790.0,Retail,"modern office building, 2015 construction.",property listing 414,,False
152757.0,2026-03-22t19:23:40.968735,loopnet api,37835183,"[[-77.689202, 43.184202]]",2185.0,Industrial,beautiful office space built in 1995. new roof installed in 2020.,property listing 415,,False
578250.0,2026-03-22t19:23:40.968736,loopnet api,37802144,"[[-77.729757, 43.216637]]",2932.0,Retail,retail storefront. contact 555-0199 for info.,property listing 416,,False
1.194614e+06,2026-03-22t19:23:40.968738,loopnet api,37685159,"[[-77.507708, 43.180254]]",3549.0,Retail,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 417,,False
1.727942e+06,2026-03-22t19:23:40.968740,loopnet api,37672628,"[[-77.58338, 43.161273]]",3341.0,Office,prime location property. price reduced by 10%.,property listing 418,,False
1.135101e+06,2026-03-22t19:23:40.968747,loopnet api,36753479,"[[-77.609031, 43.188089]]",1838.0,Retail,"modern office building, 2015 construction.",property listing 419,,False
1.891435e+06,2026-03-22t19:23:40.968749,loopnet api,35918214,"[[-77.598063, 43.158212]]",2662.0,Industrial,beautiful office space built in 1995. new roof installed in 2020.,property listing 420,,False
243511.0,2026-03-22t19:23:40.968752,loopnet api,34615563,"[[-77.606169, 43.123466]]",2756.0,Multi-Family,retail storefront. contact 555-0199 for info.,property listing 421,,False
190306.0,2026-03-22t19:23:40.968754,loopnet api,33967070,"[[-77.600692, 43.090541]]",4321.0,Retail,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 422,,False
1.702421e+06,2026-03-22t19:23:40.968756,loopnet api,33594054,"[[-77.59515, 43.197256]]",3503.0,Retail,prime location property. price reduced by 10%.,property listing 423,,False
264378.0,2026-03-22t19:23:40.968757,loopnet api,33563624,"[[-77.670594, 43.205411]]",2787.0,Multi-Family,"modern office building, 2015 construction.",property listing 424,,False
619090.0,2026-03-22t19:23:40.968759,loopnet api,31365120,"[[-77.617893, 43.104205]]",1092.0,Multi-Family,beautiful office space built in 1995. new roof installed in 2020.,property listing 425,,False
1.993085e+06,2026-03-22t19:23:40.968761,loopnet api,31072254,"[[-77.672354, 43.208394]]",3897.0,Multi-Family,retail storefront. contact 555-0199 for info.,property listing 426,,False
1.386247e+06,2026-03-22t19:23:40.968763,loopnet api,29679893,"[[-77.625991, 43.083275]]",1979.0,Multi-Family,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 427,,False
592421.0,2026-03-22t19:23:40.968764,loopnet api,28677556,"[[-77.496353, 43.128384]]",1923.0,Retail,prime location property. price reduced by 10%.,property listing 428,,False
280542.0,2026-03-22t19:23:40.968766,loopnet api,27340026,"[[-77.596171, 43.094725]]",3377.0,Industrial,"modern office building, 2015 construction.",property listing 429,,False
1.292952e+06,2026-03-22t19:23:40.968768,loopnet api,25423067,"[[-77.660068, 43.189489]]",2327.0,Office,beautiful office space built in 1995. new roof installed in 2020.,property listing 430,,False
1.280048e+06,2026-03-22t19:23:40.968769,loopnet api,39240335,"[[-77.626972, 43.266573]]",4509.0,Multi-Family,retail storefront. contact 555-0199 for info.,property listing 431,,False
113201.0,2026-03-22t19:23:40.968771,loopnet api,38506503,"[[-77.722156, 43.147954]]",2757.0,Office,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 432,,False
1.124815e+06,2026-03-22t19:23:40.968773,loopnet api,39688759,"[[-77.491895, 43.134963]]",2128.0,Multi-Family,prime location property. price reduced by 10%.,property listing 433,,False
1.002979e+06,2026-03-22t19:23:40.968774,loopnet api,39493768,"[[-77.652739, 43.183327]]",4152.0,Industrial,"modern office building, 2015 construction.",property listing 434,,False
1.636638e+06,2026-03-22t19:23:40.968776,loopnet api,39179151,"[[-77.637042, 43.21747]]",3338.0,Office,beautiful office space built in 1995. new roof installed in 2020.,property listing 435,,False
660663.0,2026-03-22t19:23:40.968778,loopnet api,39135313,"[[-77.59963, 43.147174]]",2656.0,Industrial,retail storefront. contact 555-0199 for info.,property listing 436,,False
860455.0,2026-03-22t19:23:40.968779,loopnet api,39029056,"[[-77.629854, 43.253288]]",1477.0,Multi-Family,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 437,,False
331858.0,2026-03-22t19:23:40.968781,loopnet api,38805754,"[[-77.609516, 43.159373], [-77.60937, 43.159498], [-77.609022, 43.159498]]",4984.0,Multi-Family,prime location property. price reduced by 10%.,property listing 438,,False
1.649434e+06,2026-03-22t19:23:40.968782,loopnet api,38672790,"[[-77.695841, 43.252085]]",4304.0,Retail,"modern office building, 2015 construction.",property listing 439,,False
829645.0,2026-03-22t19:23:40.968784,loopnet api,38667709,"[[-77.684791, 43.163939]]",4641.0,Multi-Family,beautiful office space built in 1995. new roof installed in 2020.,property listing 440,,False
870509.0,2026-03-22t19:23:40.968787,loopnet api,38657835,"[[-77.680431, 43.165312]]",4213.0,Industrial,retail storefront. contact 555-0199 for info.,property listing 441,,False
336510.0,2026-03-22t19:23:40.968788,loopnet api,38642840,"[[-77.63687, 43.178827], [-77.642536, 43.179533], [-77.642392, 43.179532], [-77.62665, 43.14951], [-77.62825, 43.15788], [-77.60167, 43.17348], [-77.64267, 43.17865], [-77.574784, 43.159554], [-77.642874, 43.178356], [-77.64269, 43.17833], [-77.648616, 43.175477]]",3482.0,Office,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 442,,False
1.80033e+06,2026-03-22t19:23:40.968790,loopnet api,38392450,"[[-77.563914, 43.165658]]",3174.0,Retail,prime location property. price reduced by 10%.,property listing 443,,False
139586.0,2026-03-22t19:23:40.968791,loopnet api,38349243,"[[-77.630426, 43.152136]]",3738.0,Office,"modern office building, 2015 construction.",property listing 444,,False
338181.0,2026-03-22t19:23:40.968793,loopnet api,38336132,"[[-77.606721, 43.148846]]",2099.0,Multi-Family,beautiful office space built in 1995. new roof installed in 2020.,property listing 445,,False
1.114511e+06,2026-03-22t19:23:40.968795,loopnet api,37642625,"[[-77.521411, 43.091164]]",4655.0,Industrial,retail storefront. contact 555-0199 for info.,property listing 446,,False
1.87783e+06,2026-03-22t19:23:40.968796,loopnet api,37635578,"[[-77.605897, 43.163075]]",567.0,Office,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 447,,False
1.967329e+06,2026-03-22t19:23:40.968798,loopnet api,37597791,"[[-77.622107, 43.237705], [-77.650804, 43.149728], [-77.621603, 43.239027]]",533.0,Retail,prime location property. price reduced by 10%.,property listing 448,,False
1.312015e+06,2026-03-22t19:23:40.968800,loopnet api,36946149,"[[-77.640255, 43.216379]]",2339.0,Industrial,"modern office building, 2015 construction.",property listing 449,,False
140586.0,2026-03-22t19:23:40.968801,loopnet api,36759255,"[[-77.555457, 43.176733]]",1125.0,Industrial,beautiful office space built in 1995. new roof installed in 2020.,property listing 450,,False
677896.0,2026-03-22t19:23:40.968803,loopnet api,36720805,"[[-77.507789, 43.181558]]",1094.0,Industrial,retail storefront. contact 555-0199 for info.,property listing 451,,False
1.342702e+06,2026-03-22t19:23:40.968805,loopnet api,36541756,"[[-77.609937, 43.162058]]",1651.0,Retail,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 452,,False
400752.0,2026-03-22t19:23:40.968806,loopnet api,36012352,"[[-77.547591, 43.226692]]",739.0,Office,prime location property. price reduced by 10%.,property listing 453,,False
759702.0,2026-03-22t19:23:40.968808,loopnet api,35743582,"[[-77.552951, 43.1471]]",1556.0,Retail,"modern office building, 2015 construction.",property listing 454,,False
1.997548e+06,2026-03-22t19:23:40.968809,loopnet api,35635912,"[[-77.663813, 43.204382]]",710.0,Office,beautiful office space built in 1995. new roof installed in 2020.,property listing 455,,False
1.351437e+06,2026-03-22t19:23:40.968811,loopnet api,33872004,"[[-77.483396, 43.203826]]",2283.0,Industrial,retail storefront. contact 555-0199 for info.,property listing 456,,False
564608.0,2026-03-22t19:23:40.968813,loopnet api,33820009,"[[-77.599713, 43.172094]]",2453.0,Multi-Family,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 457,,False
866683.0,2026-03-22t19:23:40.968814,loopnet api,33012857,"[[-77.750032, 43.254493]]",3492.0,Industrial,prime location property. price reduced by 10%.,property listing 458,,False
146540.0,2026-03-22t19:23:40.968816,loopnet api,32888406,"[[-77.658047, 43.128951]]",2085.0,Retail,"modern office building, 2015 construction.",property listing 459,,False
1.182233e+06,2026-03-22t19:23:40.968818,loopnet api,32669501,"[[-77.438521, 43.130325]]",4194.0,Retail,beautiful office space built in 1995. new roof installed in 2020.,property listing 460,,False
279893.0,2026-03-22t19:23:40.968820,loopnet api,30842456,"[[-77.645307, 43.123657]]",4104.0,Retail,retail storefront. contact 555-0199 for info.,property listing 461,,False
1.768349e+06,2026-03-22t19:23:40.968822,loopnet api,30058882,"[[-77.650628, 43.131562]]",1499.0,Industrial,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 462,,False
1.976148e+06,2026-03-22t19:23:40.968823,loopnet api,28535219,"[[-77.640383, 43.058454]]",3630.0,Retail,prime location property. price reduced by 10%.,property listing 463,,False
510042.0,2026-03-22t19:23:40.968825,loopnet api,25194189,"[[-77.5988, 43.20861]]",3922.0,Industrial,"modern office building, 2015 construction.",property listing 464,,False
1.391614e+06,2026-03-22t19:23:40.968827,loopnet api,37336938,"[[-77.68565, 43.186082]]",3270.0,Multi-Family,beautiful office space built in 1995. new roof installed in 2020.,property listing 465,,False
1.836924e+06,2026-03-22t19:23:40.968828,loopnet api,35191239,"[[-77.462175, 43.110628]]",1497.0,Office,retail storefront. contact 555-0199 for info.,property listing 466,,False
